verdict,auditor_note,claim,excerpt,source_publication,source_date,source_title,source_file,event_type,event_date,date_precision,operator,venue_name_as_written,on_the_map,extraction_confidence,pipeline_flagged_it,event_id
correct,"‘Aramark also recently won a contract to replace Sodexo at Temple University.’ No date claimed, so none to get wrong.",Sodexo lost the food service contract at Temple University — date unknown.,"… in September, SodexoMagic file a federal lawsuit alleging that Drexel misrepresented expected growth in Drexel's student body during contract negotiations. Center City-based Aramark also recently won a contract to replace Sodexo at Temple University. - Harold Brubaker Pa. Water completes deal Pennsylvania American Water, a subsidiary of American Water of Voorhees, said Monday that it has completed the acquisition of the wastewater assets of the Borough of New Cumberland in Cumberland County for $23 million. The sale was announced in May, and required state regulatory approval. The New Cumberland wastewater system serves about 3,100 customers, who already receive water service from Pennsylva…","Philadelphia Inquirer; Philadelphia, Pa.",2016-11-01,BriefCase,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,lost,,approx,Sodexo,Temple University,no,0.75,yes,ev_7beff567a0cffbea
out_of_scope,Extraction is accurate — Aramark did lose this contract effective Dec 12. But the words ‘food’ and ‘dining’ appear NOWHERE in the article; it is about environmental services (housekeeping). Not a food service contract.,Aramark Healthcare Services lost the food service contract at Lafayette General Medical Center — 2016-12-12 (exact).,"[2 copies of this article in the corpus; showing the fullest] Aramark Healthcare Services will lay off 243 employees assigned to Lafayette General Medical Center on Dec. 12, the company revealed in a notification to Louisiana Workforce Commission on Friday. But Lafayette General says it may rehire as many in what it hopes will be a seamless transition to returning environmental services jobs to the hospital system, rather than contracting them out. Aramark's notification follows news from the Medical Center made Monday that it would end the contract, which ends Dec. 12. Lafayette General spokesman Daryl Cetnar said many or most of the employees now employed by Aramark may regain jobs with Lafayette General. Aramark said all employees at the site will l…","The Daily Advertiser; Lafayette, La.",2016-10-15,Aramark to lay off 243; rehires possible,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,lost,2016-12-12,exact,Aramark Healthcare Services,Lafayette General Medical Center,no,0.9,yes,ev_972e3d50f5b5c142
wrong_date,Chartwells replacing Aramark at UTA is right. 2016-06-06 is not the contract date — June 6 is when the Outtakes convenience store opened. Date lifted from the wrong entity in the article.,"Chartwells won the food service contract at University of Texas - Arlington, University of Texas at Arlington — 2016-06-06 (approx).","Publication: The Shorthorn, University of Texas - Arlington, Arlington TX. New look, new food distributor, same great taste. ""It's more of an enhancement,"" University Center director David Albart said. Chartwells will serve as the university food distributor. It will provide its services to residential dining, the University Center Plaza, the UC Starbucks, Maverick Activities Center, University Center Market, Einstein Bros. Bagels, University Club and various retail locations in the College Park District. Although the food will be similar to Aramark's, the old food distributor, there will be broader food options, Albart said. The Connection Café has undergone renovation. Previously, it was a…",University Wire; Carlsbad,2016-08-22,New food distributor refreshes UTA's cuisine,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,won,2016-06-06,approx,Chartwells,University of Texas - Arlington,yes,0.9,no,ev_3f56dfa6a6530881
correct,"‘the St. Cloud State vendor contract with Sodexo … was not renewed effective July 1’, and the article goes on to name ‘the new St. Cloud State vendor’.","Sodexo lost the food service contract at St. Cloud State University's Garvey Commons, St. Cloud State University — 2016-07-01 (exact).","… and playing with their peers. So far, he has been quite successful. But the summer of 2016 has not been without challenges for the 6-year-old program. Sparby said the Yes Network had recently transitioned back to preparing meals at St. Cloud State University's Garvey Commons after spending the first month prepping meals at Apollo High School. ""We are right on track to serve another 70,000 meals this summer,"" Sparby said. A great sign for a program that was struggling to find a space to call home. Sparby said the St. Cloud State vendor contract with Sodexo, a partner of the Yes Network, was not renewed effective July 1. Without that contract, Sparby was concerned where his organization was g…","St. Cloud Times; St. Cloud, Minn.",2016-07-31,Building community,articles/raw/usb1/Sodexho/ProQuestDocuments-2026-07-29.rtf,lost,2016-07-01,exact,Sodexo,St. Cloud State University's Garvey Commons,no,0.85,yes,ev_17f190dcdbc956e6
correct,"‘Chartwells, SMSU’s new food service provider after switching from Aramark.’","Chartwells won the food service contract at SMSU campus, Southwest State University — date unknown.","[3 copies of this article in the corpus; showing the fullest] Publication: The Spur, Southwest State University, Marshall MN. Starbucks to be student-run Martin Olsen, Staff Writer September 8, 2016 As of July, the SMSU campus Starbucks has been transitioning to a student-run model of management. As a result of this decision, the employees at the Starbucks are well on their way to effectively running the coffee shop by themselves. This decision comes in the wake of a change in hands of ownership of the coffee shop to Chartwells, SMSU's new food service provider after switching from Aramark. The decision to transition to a student-run model was proposed and enacted by Chartwells. Food Service Director Tom Piascik forwarded this plan within the company a…",University Wire; Carlsbad,2016-09-08,Starbucks to be student-run,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,won,,approx,Chartwells,SMSU campus,no,0.8,yes,ev_d43a44138dcf3ec5
not_supported,"Article is a year-in-review photo roundup. The only occurrence of Sodexo is a photo caption of a worker at Morgan Hall. Nothing states a contract loss, and nothing supports 2016-10.","Sodexo lost the food service contract at Temple, Temple University — 2016-10-01 (month).","Publication: Temple News, Temple University, Philadelphia PA. administration_stitch Neil Theobald (left), addresses the state legislature in Harrisburg in March. Hai-Lung Dai (right), speaks at the opening of the Science Education and Research Center in 2014. TTN FILE PHOTO | PATRICK CLARK / KARA MILSTEIN 160830__News_MoodyNolan_KaitMoore_6 The university authorized digging near Geasey Field, above, to see how deep a stadium could be built. | KAIT MOORE FOR THE TEMPLE NEWS AdjunctProfProtest_KaraMilstein_03 About a year ago, adjuncts protested on Liacouras Walk to join TAUP, the university’s full-time faculty union. | KARA MILSTEIN TTN FILE PHOTO 11-1_news_tupd_michaelawinberg Philadelphia P…",University Wire; Carlsbad,2016-12-29,Top 10 News Topics of 2016,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,lost,2016-10-01,month,Sodexo,Temple,no,0.85,yes,ev_7984a6913c9c631d
correct,‘In January 2016 U of T announced that it would not be renewing its contract with … Aramark … it would be providing food services independently.’ Operator = the institution is the right reading for self_op.,University of Toronto was replaced by in-house operation at University of Toronto — 2016-01-01 (month).,"Headnote In a dramatic shift, an excutive chef turns the mighty U of T kitchens toward fresh and locally sourced Jaco Lokker and his head chefs stand around a table at the University of Toronto's Chestnut Residence kitchen, looking at halves of sandwiches. All summer they have been developing recipes and menus. ""I personally don't believe Russian dressing belongs on a Reuben,"" says Lokker to Suman Roy, executive chef for the campus retail outlets. Roy had made the grave error of suggesting the dressing on the classic sandwich, which they would be serving at a deli station. James Piggot, chef of New College Residence, pulls out his cellphone and searches ""Reuben sandwich."" He lists ingredient…",Maclean's; Toronto,2016-11-07,A great campus food makeover,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,self_op,2016-01-01,month,University of Toronto,University of Toronto,no,0.9,yes,ev_3d844a0a15b3ac55
wrong_date,"SodexoMagic losing Drexel to Aramark is right. The cited article says announced Oct 28, effective Dec 11 — it does not support 2016-09-20, and the date is asserted at ‘exact’ precision.",SodexoMagic lost the food service contract at Drexel University — 2016-09-20 (exact).,"Publication: The Triangle, Drexel University, Philadelphia PA. October 28, 2016 by Gina Vitale Drexel University President John A. Fry announced in an email Oct. 28 that Aramark will be replacing SodexoMagic as the University's food service provider, effective Dec. 11. Aramark, which is a Fortune 200 company, is a based out of Center City, Philadelphia and provides food service to multiple colleges and universities across the U.S. ""Aramark leaders assure us that, as a company, they strive to provide their customers with the best possible quality and service,"" Fry wrote in the email. Drexel terminated its contract with SodexoMagic Sept. 20, ending a 21-year partnership. At the time, Drexel di…",University Wire; Carlsbad,2016-10-28,Aramark to replace SodexoMagic as food service provider,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,lost,2016-09-20,exact,SodexoMagic,Drexel University,yes,0.93,no,ev_5ff1a8e1a957888c
correct,‘since Sodexo took over from Aramark in 2013’. Year precision matches the article’s own precision.,"Sodexo won the food service contract at Brandeis, Brandeis University — 2013-01-01 (year).","Publication: The Justice, Brandeis University, Waltham MA. The Justice :: BLC petitions for better treatment of Sodexo workers Brandeis University’s Independent Student Newspaper Since 1949, Waltham, MA In addition to creating long lines and slow service, understaffing in dining locations on campus prevents several Sodexo workers from earning a living, the Brandeis Labor Coalition asserted this week in a petition arguing for better treatment of Sodexo workers on campus. The petition began circulation around 10 p.m. on Nov. 9 via the Brandeis Labor Coalition Facebook Page. As of 3 p.m. on Monday, the petition had 231 signatures out of the 500 signature goal. Some students have also been able …",University Wire; Carlsbad,2016-11-14,BLC petitions for better treatment of Sodexo workers,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,won,2013-01-01,year,Sodexo,Brandeis,no,0.75,yes,ev_4491deab17382d16
correct,"‘Drexel terminated the contract last month’ in an article dated Oct 10 2016 — September, at month precision.",SodexoMagic lost the food service contract at Drexel University — 2016-09-01 (month).,"Gaithersburg-based SodexoMagic LLC has filed suit against Drexel University for allegedly misrepresenting its student body growth, leading the food service company to sign a 10-year contract worth millions of dollars. The lawsuit claims Drexel's Request for Proposal and subsequent contract negotiations indicated student enrollment would grow. But after the deal was signed in May 2015, SodexoMagic learned the university's enrollment actually would decline, according to the lawsuit. The company's 10-year contract included multimillion-dollar investments in renovations to Drexel facilities and tens of millions of dollars in commissions to the university. SodexoMagic and Drexel had worked togeth…","The Daily Record; Baltimore, Md.",2016-10-10,Md. company alleges fraud by Drexel University,articles/raw/usb1/Sodexho/ProQuestDocuments-2026-07-29.rtf,lost,2016-09-01,month,SodexoMagic,Drexel University,yes,0.85,yes,ev_27cf5d4cc3acfdd0
